Code,Issuer
XRP,
CNY,rKiCet8SdvWxPXnAgYarFUXMh1zCPz432Y
USD,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq
USD,rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B
BPM,rDBMvpjV6DoWvr3LqMUG8JBgd4QbBoU1E2
4249547800000000000000000000000000000000,rBitcoiNXev8VoVxV7pwoQx1sSfonVP9i3
BCH,rcyS4CeCZVYvTiKcxj6Sx32ibKwcDHLds
4C52554200000000000000000000000000000000,rnyGDFEqnNwpyzievKCMhHUi4xs6HnUqPA
4C45555200000000000000000000000000000000,rfL4Sci2ag5hhkpDuqtWYov6j3mshVWLgU
ADV,rPneN8WPHZJaMT9pF4Ynyyq4pZZZSeTuHu
4F70756C656E6365000000000000000000000000,rs5wxrBTSErywDDfPs5NY4Zorrca5QMGVd
BTC,rchGBxcD1A1C2tdxF6papQYZ8kjRKMYcL
434F524500000000000000000000000000000000,rcoreNywaoz2ZCQ8Lg2EbSLnGuRBmun6D
ETH,rcA8X3TVMST1n3CJeAdGk1RdRCHii7N2h
5553445400000000000000000000000000000000,rcvxE9PS9YBwxtGg1qNeewV6ZB3wGubZq
DSH,rcXY84C4g14iFp6taFXjjQGVeHqSCh9RX
ATM,raDZ4t8WPXkmDfJWMLBcNZmmSHmBC523NZ
5341564500000000000000000000000000000000,rfAJaM2jr8frHwcXY52gLeqDEUmAFmzqFT
534F4C4F00000000000000000000000000000000,rsoLo2S1kiGeCcn6hCUXVrCpGMWLrRrLZz
OVO,r3jQzqfGVagsWNbSxMJpQV8VK7jHHmdv5j
7853504543544152000000000000000000000000,rh5jzTCdMRCVjQ7LT6zucjezC47KATkuvv
5377697373546563680000000000000000000000,raq7pGaYrLZRa88v6Py9V5oWMYEqPYr8Tz
4368617269747900000000000000000000000000,rGfX5v4zHeu6SpepPzoHwwFPWUbKVGLCBS
457175696C69627269756D000000000000000000,rpakCr61Q92abPXJnVboKENmpKssWyHpwu
5265646479000000000000000000000000000000,rw5Kdcm1vW4xVefFafjMbevs5SL9fYP36U
RPR,r3qWgpz2ry3BhcRJ8JE6rxM8esrfhuKp4R
XDX,rMJAXYsbNzhwp7FfYnAsYP5ty3R9XnurPo
5452535259000000000000000000000000000000,rLBnhMjV6ifEHYeV4gaS6jPKerZhQddFxW
5852646F67650000000000000000000000000000,rLqUC2eCPohYvJCEBJ77eCCqVL2uEiczjA
SGB,rctArjqVvTHihekzDeecKo6mkTYTUSBNc
XGO,rXGoXGoNeTTjPFVjzsmWWdFAMp7Lv3P4i
4169436174000000000000000000000000000000,rfL6wAE6J5dFG8cCuRxA9SsUSPREDaN3q7
MAG,rXmagwMmnFtVet3uL26Q2iwk287SRvVMJ
5553444300000000000000000000000000000000,rcEGREd8NmkKRE8GE424sksyt1tJVFZwu
50454F504C450000000000000000000000000000,rfY6rBycwpcyt49TGFvaVAoib3qmcWJERC
XUP,rXRPUPwULfAdDm1ykLmA7g9FbWMAhgdgg
CNY,rJ1adrpGS3xsnQMb9Cw54tWJVFPuSdZHK
44524F5000000000000000000000000000000000,rszenFJoDdiGjyezQc8pME9KWDQH43Tswh
5852505300000000000000000000000000000000,rN1bCPAxHDvyJzvkUso1L2wvXufgE4gXPL
XAG,rpG9E7B3ocgaKqG7vmrsu3jmGwex8W4xAG
EUR,rhub8VRN55s94qWKDv6jmDy1pUykJzF3wq
BTC,rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B
586F676500000000000000000000000000000000,rJMtvf5B3GbuFMrqybh5wYVXEH4QE8VyU1
POP,rDQvdRdJCfRGraBygUbV1JsMCHBmRdsdNV
5853616974616D61000000000000000000000000,rwUSJdemymbvn8WRa3WutKkVMrjkLpiFNy
5853515541440000000000000000000000000000,roBYiFtZsTRpWEUw6TtpUCwZCfjcQeRBg
XLM,rKiCet8SdvWxPXnAgYarFUXMh1zCPz432Y
ETH,rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B
5349474D41000000000000000000000000000000,rfKYWZ84fm9eVEdoTcsQCo1WdqMPyaUF5z
58434F5245000000000000000000000000000000,r3dVizzUAS3U29WKaaSALqkieytA2LCoRe
XAH,rswh1fvyLqHizBS2awu1vs6QcmwTBd9qiv
USD,rKiCet8SdvWxPXnAgYarFUXMh1zCPz432Y
5847424C00000000000000000000000000000000,rMy6sCaDVF1C2BT3qmNG6kgjVDZqZ74uoF
XIO,rfuzioNFTKArnU1PQD5BEF272vpbHMRoxU
404,raHJ4Jz9PYk356wWaDMYw79B17iWtfsSMi
TPR,rht98AstPWmLPQMrwd9YDrcDoTjw9Tiu4B
24464C4950505900000000000000000000000000,rsENFmELvj92orrCKTkDTug53MzwsB7zBd
POZ,rpvbUsHkJ91rGTa9gShUQU6jzLrFBgsVe3
4241594E414E4100000000000000000000000000,rJ9uU9jKxNcsNQM2CLKUhPxNn8P4xmhDVq
4245415200000000000000000000000000000000,rBEARGUAsyu7tUw53rufQzFdWmJHpJEqFW
XPM,rXPMxBeefHGxx2K7g5qmmWq3gFsgawkoa
466163746F726100000000000000000000000000,rLvvgXHiL7weCDJr3uxaqnjc8aZuf4JNAV
RLT,rUetS7kbVYJZ76za5ywa1DgViNZMgT9Bvq
PLR,rNSYhWLhuHvmURwWbJPBKZMSPsyG5Qek17
47414C4100000000000000000000000000000000,rf5YPb9y9P3fTjhxNaZqmrwaj5ar8PG1gM
TPC,rG5V4BAhSAb8LHQwZpTa13FrtNwygF1AEd
584D454D45000000000000000000000000000000,r4UPddYeGeZgDhSGPkooURsQtmGda4oYQW
5A52505900000000000000000000000000000000,rsxkrpsYaeTUdciSFJwvto7MKSrgGnvYvA
6D756C6100000000000000000000000000000000,rMULA5hkZqsu7545NPnJZfu5ghKxuRbCro
41524D5900000000000000000000000000000000,r319FqohpKLwjtcV2mosyC5sy125fDk4uH
STX,rSTAYKxF2K77ZLZ8GoAwTqPGaphAqMyXV
585241494E000000000000000000000000000000,rh3tLHbXwZsp7eciw2Qp8g7bN9RnyGa2pF
5357495443480000000000000000000000000000,rJ8jyXpdAZhfxMamtLadk8LYFxd1ff6iKQ
XVR,rRCA6gnPkvpKmWwfcYxHQ845gFQ5ThYQe
585250466F780000000000000000000000000000,rEGg1YtoGRRK341u1zpCst24tyk8MDLGzd
464C414D45000000000000000000000000000000,rp5CUgVjAhuthJs8LdjTXFdNWJzfQqc3p2
CSC,rCSCManTZ8ME9EoLrSHHYKW8PPwWMgkwr
5348494200000000000000000000000000000000,rfY6rBycwpcyt49TGFvaVAoib3qmcWJERC
FLR,rcxJwVnftZzXqyH9YheB8TgeiZUhNo1Eu
BTC,raPhno5Bpmch3oWwqXy6e4vgQeidKknBTC
58464C4F4B490000000000000000000000000000,rUtXeAXonpFpgKubAa7LxcLd7NFep92T1t
4C54574400000000000000000000000000000000,rnyGDFEqnNwpyzievKCMhHUi4xs6HnUqPA
5941525252000000000000000000000000000000,rDrk912fwtHiSyMYtq94xp4kK4mWgu4CdF
XNX,raDDJZ73m7ouH4CSTdiFS4fJ6GWctt2qVF
ape,rnxGEQytwx7jDfoKXfot9G4gQ1pbuHwf9m
EVR,ra9g3LAJm9xJu8Awe7oWzR6VXFB1mpFtSe
5641444552000000000000000000000000000000,rLWjpcGvhmwwySuqxutEnZsQDkyGgijApz
4D4F464F00000000000000000000000000000000,rPzMosAb5zNhPh6hmHYqiNvGrimWFSU8Tj
MFX,rfUhMQYijKvStp96CUxDNp8ukYJAebNrJ1
ARK,rf5Jzzy6oAFBJjLhokha1v8pXVgYYjee3b
ASC,r3qWgpz2ry3BhcRJ8JE6rxM8esrfhuKp4R
444F4E4E49450000000000000000000000000000,rhhaVvZF69sQBgiDuM2avL2pbrryT5cGTF
636F7265756D3763386562323965303700000000,rxXXXeMX8Gy5YvibvGLnQJ1XKKD7UswM1
4348494E47000000000000000000000000000000,raeatrkxnL8rLu8a6mqmBzoGeGtFHoFLZg
LTC,rcRzGWq6Ng3jeYhqnmM4zcWcUh69hrQ8V
43616C6F72696500000000000000000000000000,rNqGa93B8ewQP9mUwpwqA19SApbf62U7PY
CFC,rsxUkmjnAn8PRDz8RYrPusb9mTDYn5NqG8
JIP,rEif3QQ8hvHB7VxKhvFSVPvr36ZKtLqirE
5045504500000000000000000000000000000000,rJEApMjV7KVVopB8NB1WXQpQYVu84vRGTa
RUG,rUnzTAWSTfzxv2spUuo8DrnUCT933KxUoo
GZX,rNgsoCk6mjBq5jcqitBpg1gdfYhKajXsM2
HMC,raXY8RFAKixBZGw8nhDRHvVCKd2RzeoeLq
636F7265756D3930356330393837333200000000,rxXXXeMX8Gy5YvibvGLnQJ1XKKD7UswM1
JCS,rPU6sXCNzsjcTUEmgJQ5SxDUzY2y1RyYKd
4C55544845520000000000000000000000000000,rPBWcjbyqcrGxpUe4awobqMmB2WaeUhuFb
MXI,rpj9MbbYR9w4smmjG7qJMFCitqDSdPwc28
