Ledger_Number,Row_Count,Transaction_Fee_med,Transaction_Fee_avg,Transaction_Fee_max,Transaction_Fee_min,Transaction_Fee_sum
62402495,25,12.0,12.88,34,12,322
62405495,34,12.0,12.117647058823529,14,12,412
62408495,35,12.0,12.0,12,12,420
62411495,36,12.0,12.083333333333334,15,12,435
62414495,35,12.0,12.371428571428572,15,12,433
62417495,28,12.0,12.0,12,12,336
62420495,28,12.0,29.0,250,12,812
62423495,32,12.0,12.0,12,12,384
62429495,43,12.0,23.11627906976744,250,12,994
62432495,33,12.0,12.0,12,12,396
62435495,36,12.0,12.0,12,12,432
62438495,50,12.0,14.86,123,12,743
62441495,26,12.0,12.153846153846153,14,12,316
62444495,40,12.0,19.25,150,12,770
62447495,44,12.0,12.0,12,12,528
62450495,47,12.0,12.25531914893617,20,12,576
62453495,24,12.0,330.2083333333333,7629,12,7925
62456495,37,12.0,15.81081081081081,150,12,585
62459495,56,12.0,11.714285714285714,12,10,656
62462495,31,12.0,12.0,12,12,372
62465495,27,12.0,11.925925925925926,12,10,322
62468495,43,12.0,15.372093023255815,150,11,661
62471495,31,12.0,38.83870967741935,150,10,1204
62474495,44,12.0,12.0,12,12,528
62477495,23,12.0,12.0,12,12,276
62480495,54,12.0,404.7037037037037,5314,10,21854
62483495,32,12.0,12.0,12,12,384
62486495,49,12.0,12.061224489795919,15,12,591
62489495,42,12.0,12.0,12,12,504
62492495,26,12.0,12.0,12,12,312
62495495,29,12.0,11.586206896551724,12,10,336
62498495,43,12.0,12.0,12,12,516
62501495,29,12.0,11.931034482758621,12,10,346
62504495,30,12.0,12.266666666666667,20,12,368
62507495,23,12.0,11.91304347826087,12,10,274
62510495,35,12.0,12.0,12,12,420
62513495,41,12.0,11.804878048780488,12,10,484
62516495,40,12.0,12.0,12,12,480
62519495,31,12.0,12.0,12,12,372
62522495,36,12.0,12.0,12,12,432
62525495,36,12.0,152.77777777777777,5088,10,5500
62528495,22,12.0,12.0,12,12,264
62531495,32,12.0,12.0,12,12,384
62534495,49,12.0,11.959183673469388,12,10,586
62537495,25,12.0,12.0,12,12,300
62540495,33,12.0,11.93939393939394,12,10,394
62543495,22,12.0,12.0,12,12,264
62546495,41,12.0,11.902439024390244,12,10,488
62549495,30,12.0,12.0,12,12,360
62552495,42,12.0,11.904761904761905,12,10,500
62555495,38,12.0,5931.9473684210525,15000,12,225414
62558495,20,12.0,12.0,12,12,240
62561495,48,12.0,12.0,12,12,576
62564495,28,12.0,12.0,12,12,336
62567495,49,12.0,14.653061224489797,150,10,718
62570495,51,12.0,436.6666666666667,5613,12,22270
62573495,39,12.0,609.8461538461538,5808,10,23784
62576495,40,12.0,11.9,12,10,476
62579495,38,12.0,16.763157894736842,150,12,637
62582495,28,12.0,12.0,12,12,336
62585495,45,12.0,12.0,12,12,540
62588495,49,12.0,11.959183673469388,12,10,586
62591495,40,12.0,27.35,250,12,1094
62594495,42,12.0,11.80952380952381,12,10,496
62597495,21,12.0,11.619047619047619,12,10,244
62600495,55,12.0,14.436363636363636,150,10,794
62603495,46,12.0,11.956521739130435,12,10,550
62606495,50,12.0,11.52,12,10,576
62609495,41,12.0,12.0,12,12,492
62612495,37,12.0,12.0,12,12,444
62615495,45,12.0,127.4888888888889,5084,10,5737
62618495,56,12.0,15.357142857142858,59,12,860
62621495,73,12.0,11.41095890410959,15,10,833
62624495,31,12.0,11.903225806451612,12,11,369
62627495,53,12.0,213.24528301886792,5318,10,11302
62630495,61,12.0,13.081967213114755,74,10,798
62633495,48,12.0,12.0625,15,12,579
62636495,41,12.0,12.195121951219512,20,12,500
62639495,52,12.0,12.153846153846153,20,12,632
62642495,47,12.0,12.0,12,12,564
62645495,36,12.0,12.0,12,12,432
62648495,44,12.0,12.0,12,12,528
62651495,31,12.0,185.03225806451613,5381,11,5736
62654495,15,12.0,366.4,5328,12,5496
62657495,72,12.0,11.61111111111111,12,10,836
62660495,50,12.0,14.76,150,12,738
62663495,41,12.0,15.365853658536585,150,12,630
62666495,26,12.0,12.0,12,12,312
