Ledger_Number,Ledger_Date,Row_Count,Transaction_Fee_med,Transaction_Fee_avg,Transaction_Fee_max,Transaction_Fee_min,Transaction_Fee_sum
91899995,2024-11-05T07:15:40.000Z,37,15.0,15.378378378378379,30.0,10.0,569.0
91900495,2024-11-05T07:48:12.000Z,27,15.0,14.962962962962964,20.0,10.0,404.0
91900995,2024-11-05T08:20:42.000Z,24,15.0,15.166666666666666,20.0,10.0,364.0
91901495,2024-11-05T08:53:11.000Z,31,15.0,16.387096774193548,43.0,10.0,508.0
91901995,2024-11-05T09:25:22.000Z,26,15.0,211.76923076923077,5129.0,10.0,5506.0
91902495,2024-11-05T09:57:21.000Z,22,15.0,15.681818181818182,20.0,10.0,345.0
91902995,2024-11-05T10:29:41.000Z,14,15.0,15.285714285714286,20.0,10.0,214.0
91903495,2024-11-05T11:02:21.000Z,19,15.0,14.68421052631579,20.0,10.0,279.0
91903995,2024-11-05T11:35:10.000Z,42,10.0,269.26190476190476,5383.0,10.0,11309.0
91904495,2024-11-05T12:08:00.000Z,22,15.0,20.0,100.0,15.0,440.0
91904995,2024-11-05T12:40:31.000Z,12,15.0,15.0,20.0,10.0,180.0
91905495,2024-11-05T13:13:00.000Z,21,15.0,14.523809523809524,20.0,10.0,305.0
91905995,2024-11-05T13:45:20.000Z,23,15.0,14.521739130434783,20.0,10.0,334.0
91906495,2024-11-05T14:17:51.000Z,20,15.0,15.35,20.0,10.0,307.0
91906995,2024-11-05T14:50:42.000Z,35,15.0,32.4,177.0,10.0,1134.0
91907495,2024-11-05T15:23:32.000Z,46,12.5,502.89130434782606,5775.0,10.0,23133.0
91907995,2024-11-05T15:56:32.000Z,33,15.0,18.78787878787879,150.0,10.0,620.0
91908495,2024-11-05T16:29:30.000Z,27,15.0,14.407407407407407,20.0,10.0,389.0
91908995,2024-11-05T17:02:11.000Z,43,15.0,18.6046511627907,221.0,10.0,800.0
91909495,2024-11-05T17:34:52.000Z,24,15.0,18.041666666666668,100.0,10.0,433.0
91909995,2024-11-05T18:07:42.000Z,42,13.5,13.142857142857142,20.0,10.0,552.0
91910495,2024-11-05T18:40:40.000Z,22,15.0,14.227272727272727,20.0,10.0,313.0
91910995,2024-11-05T19:13:31.000Z,20,15.0,14.6,20.0,10.0,292.0
91911495,2024-11-05T19:46:11.000Z,39,10.0,12.64102564102564,20.0,10.0,493.0
91911995,2024-11-05T20:19:12.000Z,18,15.0,15.5,20.0,10.0,279.0
91912495,2024-11-05T20:52:01.000Z,42,15.0,15.595238095238095,30.0,10.0,655.0
91912995,2024-11-05T21:24:42.000Z,34,15.0,26.205882352941178,150.0,10.0,891.0
91913495,2024-11-05T21:57:31.000Z,34,13.5,13.352941176470589,20.0,10.0,454.0
91913995,2024-11-05T22:30:11.000Z,36,15.0,13.694444444444445,20.0,10.0,493.0
91914495,2024-11-05T23:02:52.000Z,30,10.0,15.833333333333334,100.0,10.0,475.0
91914995,2024-11-05T23:35:12.000Z,25,15.0,17.56,30.0,12.0,439.0
