Ledger_Number,Ledger_Date,Row_Count,Transaction_Fee_med,Transaction_Fee_avg,Transaction_Fee_max,Transaction_Fee_min,Transaction_Fee_sum
89899995,2024-08-07T17:14:31.000Z,32,10.0,12.40625,20.0,10.0,397.0
89900495,2024-08-07T17:46:40.000Z,27,12.0,18.48148148148148,72.0,10.0,499.0
89900995,2024-08-07T18:18:51.000Z,26,10.0,12.192307692307692,20.0,10.0,317.0
89901495,2024-08-07T18:51:00.000Z,45,10.0,19.955555555555556,150.0,10.0,898.0
89901995,2024-08-07T19:23:11.000Z,31,12.0,14.64516129032258,30.0,10.0,454.0
89902495,2024-08-07T19:55:22.000Z,38,12.0,3994.0789473684213,100001.0,10.0,151775.0
89902995,2024-08-07T20:28:00.000Z,41,100.0,470.1707317073171,5632.0,10.0,19277.0
89903495,2024-08-07T21:00:31.000Z,39,12.0,40.743589743589745,221.0,10.0,1589.0
89903995,2024-08-07T21:33:00.000Z,37,100.0,1588.162162162162,6896.0,10.0,58762.0
89904495,2024-08-07T22:05:30.000Z,22,12.0,20.5,150.0,10.0,451.0
89904995,2024-08-07T22:38:02.000Z,15,20.0,21.866666666666667,51.0,10.0,328.0
89905495,2024-08-07T23:10:30.000Z,42,10.0,14.023809523809524,63.0,10.0,589.0
89905995,2024-08-07T23:42:50.000Z,30,10.0,12.733333333333333,20.0,10.0,382.0
89906495,2024-08-08T00:15:12.000Z,26,11.0,20.923076923076923,150.0,10.0,544.0
89906995,2024-08-08T00:47:41.000Z,68,10.0,12.191176470588236,30.0,10.0,829.0
89907495,2024-08-08T01:20:22.000Z,46,10.0,12.021739130434783,20.0,10.0,553.0
89907995,2024-08-08T01:52:51.000Z,54,10.0,13.592592592592593,150.0,10.0,734.0
89908495,2024-08-08T02:25:21.000Z,21,10.0,26.761904761904763,150.0,10.0,562.0
89908995,2024-08-08T02:57:52.000Z,39,10.0,14.179487179487179,30.0,10.0,553.0
89909495,2024-08-08T03:30:11.000Z,17,20.0,24.88235294117647,108.0,10.0,423.0
89909995,2024-08-08T04:02:31.000Z,39,10.0,16.025641025641026,150.0,10.0,625.0
89910495,2024-08-08T04:34:50.000Z,14,12.5,33.214285714285715,150.0,10.0,465.0
89910995,2024-08-08T05:07:12.000Z,29,10.0,21.724137931034484,150.0,10.0,630.0
89911495,2024-08-08T05:39:30.000Z,25,12.0,12.84,20.0,10.0,321.0
89911995,2024-08-08T06:11:41.000Z,26,12.0,18.46153846153846,150.0,10.0,480.0
89912495,2024-08-08T06:44:10.000Z,9,20.0,16.444444444444443,20.0,12.0,148.0
89912995,2024-08-08T07:16:21.000Z,16,11.0,14.1875,20.0,10.0,227.0
89913495,2024-08-08T07:48:12.000Z,36,10.0,15.777777777777779,150.0,10.0,568.0
89913995,2024-08-08T08:20:21.000Z,44,10.0,23.0,150.0,10.0,1012.0
89914495,2024-08-08T08:52:32.000Z,26,20.0,17.576923076923077,30.0,10.0,457.0
89914995,2024-08-08T09:24:50.000Z,17,20.0,26.470588235294116,150.0,10.0,450.0
89915495,2024-08-08T09:57:01.000Z,39,10.0,23.025641025641026,221.0,10.0,898.0
89915995,2024-08-08T10:29:11.000Z,24,10.0,12.916666666666666,20.0,10.0,310.0
89916495,2024-08-08T11:01:20.000Z,11,10.0,14.545454545454545,20.0,10.0,160.0
89916995,2024-08-08T11:33:30.000Z,23,10.0,15.73913043478261,68.0,10.0,362.0
89917495,2024-08-08T12:05:42.000Z,38,12.0,13.68421052631579,52.0,10.0,520.0
89917995,2024-08-08T12:38:00.000Z,19,20.0,37.26315789473684,221.0,10.0,708.0
89918495,2024-08-08T13:10:21.000Z,22,10.0,10.454545454545455,20.0,10.0,230.0
89918995,2024-08-08T13:42:40.000Z,12,20.0,44.166666666666664,221.0,10.0,530.0
89919495,2024-08-08T14:14:51.000Z,15,15.0,28.666666666666668,221.0,10.0,430.0
89919995,2024-08-08T14:47:11.000Z,33,10.0,12.393939393939394,29.0,10.0,409.0
89920495,2024-08-08T15:19:31.000Z,13,15.0,15.923076923076923,20.0,10.0,207.0
89920995,2024-08-08T15:51:41.000Z,41,12.0,18.048780487804876,150.0,10.0,740.0
89921495,2024-08-08T16:24:10.000Z,29,10.0,20.655172413793103,221.0,10.0,599.0
89921995,2024-08-08T16:56:30.000Z,50,10.0,14.56,150.0,10.0,728.0
89922495,2024-08-08T17:28:50.000Z,41,10.0,17.658536585365855,221.0,10.0,724.0
89922995,2024-08-08T18:01:10.000Z,33,10.0,13.121212121212121,30.0,10.0,433.0
89923495,2024-08-08T18:33:31.000Z,30,12.0,12.8,24.0,10.0,384.0
89923995,2024-08-08T19:05:42.000Z,42,12.0,29.404761904761905,221.0,10.0,1235.0
89924495,2024-08-08T19:39:11.000Z,44,10.0,11.840909090909092,20.0,10.0,521.0
89924995,2024-08-08T20:11:30.000Z,35,12.0,25.885714285714286,221.0,10.0,906.0
